2025-06-12 11:00:11.023 | ERROR    | ebang_securities_mcp_server.utils.common_request:send_ib_request:49 - POST 请求 https://localhost:5000//v1/api/iserver/auth/status 出错: HTTPSConnectionPool(host='localhost', port=5000): Max retries exceeded with url: /v1/api/iserver/auth/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000223F1806CB0>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。'))
2025-06-12 11:01:11.028 | INFO     | ebang_securities_mcp_server.utils.common_request:send_ib_request:14 - 准备发送请求地址:POST https://localhost:5000//v1/api/iserver/auth/status
2025-06-12 11:01:11.028 | INFO     | ebang_securities_mcp_server.utils.common_request:send_ib_request:15 - 准备发送请求参数:None
2025-06-12 11:01:15.132 | ERROR    | ebang_securities_mcp_server.utils.common_request:send_ib_request:49 - POST 请求 https://localhost:5000//v1/api/iserver/auth/status 出错: HTTPSConnectionPool(host='localhost', port=5000): Max retries exceeded with url: /v1/api/iserver/auth/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000223F1807520>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。'))
2025-06-12 11:02:15.206 | INFO     | ebang_securities_mcp_server.utils.common_request:send_ib_request:14 - 准备发送请求地址:POST https://localhost:5000//v1/api/iserver/auth/status
2025-06-12 11:02:15.206 | INFO     | ebang_securities_mcp_server.utils.common_request:send_ib_request:15 - 准备发送请求参数:None
2025-06-12 11:02:19.248 | ERROR    | ebang_securities_mcp_server.utils.common_request:send_ib_request:49 - POST 请求 https://localhost:5000//v1/api/iserver/auth/status 出错: HTTPSConnectionPool(host='localhost', port=5000): Max retries exceeded with url: /v1/api/iserver/auth/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000223F186C370>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。'))
2025-06-12 11:03:19.261 | INFO     | ebang_securities_mcp_server.utils.common_request:send_ib_request:14 - 准备发送请求地址:POST https://localhost:5000//v1/api/iserver/auth/status
2025-06-12 11:03:19.262 | INFO     | ebang_securities_mcp_server.utils.common_request:send_ib_request:15 - 准备发送请求参数:None
2025-06-12 11:03:23.360 | ERROR    | ebang_securities_mcp_server.utils.common_request:send_ib_request:49 - POST 请求 https://localhost:5000//v1/api/iserver/auth/status 出错: HTTPSConnectionPool(host='localhost', port=5000): Max retries exceeded with url: /v1/api/iserver/auth/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000223F18069E0>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。'))
